	outcome					
	0	0	1	1	Total	Total
	No.	%	No.	%	No.	%
Gender						
Female	498.0	56.8	609.0	49.6	1,107.0	52.6
Males	378.0	43.2	619.0	50.4	997.0	47.4
Total	876.0	100.0	1,228.0	100.0	2,104.0	100.0

agecat2						
<20 Years	21.0	2.4	29.0	2.4	50.0	2.4
20-30 Years	103.0	11.8	39.0	3.2	142.0	6.7
30-40 Years	186.0	21.2	93.0	7.6	279.0	13.3
40-50 Years	159.0	18.2	102.0	8.3	261.0	12.4
50-60 Years	120.0	13.7	147.0	12.0	267.0	12.7
60-70 Years	126.0	14.4	257.0	20.9	383.0	18.2
70-80 Years	91.0	10.4	255.0	20.8	346.0	16.4
80+ Years	70.0	8.0	306.0	24.9	376.0	17.9
Total	876.0	100.0	1,228.0	100.0	2,104.0	100.0

treat2						
No medecine	57.0	6.5	59.0	4.8	116.0	5.5
FVP/IVM/O2/ABT	777.0	88.7	1,127.0	91.8	1,904.0	90.5
MAB/Cocktail	42.0	4.8	42.0	3.4	84.0	4.0
Total	876.0	100.0	1,228.0	100.0	2,104.0	100.0

vacc						
Not vaccineted	810.0	92.5	1,082.0	88.1	1,892.0	89.9
 Vaccineted	66.0	7.5	146.0	11.9	212.0	10.1
Total	876.0	100.0	1,228.0	100.0	2,104.0	100.0

type_vacc2						
1AstraZeneca & 2 Moderna	0.0	0.0	5.0	0.4	5.0	0.2
2Pfizer & Moderna	64.0	7.3	8.0	0.7	72.0	3.4
AstraZeneca, Pfizer & Moderna	0.0	0.0	1.0	0.1	1.0	0.0
Moderna	0.0	0.0	1.0	0.1	1.0	0.0
AstraZeneca	20.0	2.3	56.0	4.6	76.0	3.6
Pfizer	16.0	1.8	66.0	5.4	82.0	3.9
Johnson & Johnson	0.0	0.0	3.0	0.2	3.0	0.1
Sputnik	0.0	0.0	1.0	0.1	1.0	0.0
Sinopharm	0.0	0.0	4.0	0.3	4.0	0.2
Unknown	776.0	88.6	1,082.0	88.1	1,858.0	88.3
AstraZeneca & Pfizer	0.0	0.0	1.0	0.1	1.0	0.0
Total	876.0	100.0	1,228.0	100.0	2,104.0	100.0

dosenumber1						
0	776.0	88.6	1,082.0	88.1	1,858.0	88.3
1	89.0	10.2	67.0	5.5	156.0	7.4
2	11.0	1.3	68.0	5.5	79.0	3.8
3	0.0	0.0	11.0	0.9	11.0	0.5
Total	876.0	100.0	1,228.0	100.0	2,104.0	100.0

comorb2						
 No Comorbity	629.0	71.8	539.0	43.9	1,168.0	55.5
 One comorbity	81.0	9.2	343.0	27.9	424.0	20.2
Pregnant women	77.0	8.8	13.0	1.1	90.0	4.3
Asthma	25.0	2.9	4.0	0.3	29.0	1.4
HIV Positive	34.0	3.9	14.0	1.1	48.0	2.3
Diabetes	30.0	3.4	52.0	4.2	82.0	3.9
Two comorbities	0.0	0.0	53.0	4.3	53.0	2.5
3+ comorbidities	0.0	0.0	210.0	17.1	210.0	10.0
Total	876.0	100.0	1,228.0	100.0	2,104.0	100.0

RECODE of days1 (days)						
 0-14 Days	359.0	41.0	477.0	38.8	836.0	39.7
15-29 Days	131.0	15.0	196.0	16.0	327.0	15.5
30 Days +	386.0	44.1	555.0	45.2	941.0	44.7
Total	876.0	100.0	1,228.0	100.0	2,104.0	100.0

